StudentID,Name,Class,Term,Subject,Marks
S001,Ishan Silva,10E,1,Mathematics,63
S001,Ishan Silva,10E,1,Science,71
S001,Ishan Silva,10E,1,English,71
S001,Ishan Silva,10E,1,ICT,68
S001,Ishan Silva,10E,1,History,69
S001,Ishan Silva,10E,1,Sinhala,68
S001,Ishan Silva,10E,2,Mathematics,59
S001,Ishan Silva,10E,2,Science,69
S001,Ishan Silva,10E,2,English,71
S001,Ishan Silva,10E,2,ICT,73
S001,Ishan Silva,10E,2,History,66
S001,Ishan Silva,10E,2,Sinhala,71
S002,Radith de Silva,10B,1,Mathematics,52
S002,Radith de Silva,10B,1,Science,50
S002,Radith de Silva,10B,1,English,51
S002,Radith de Silva,10B,1,ICT,67
S002,Radith de Silva,10B,1,History,60
S002,Radith de Silva,10B,1,Sinhala,52
S002,Radith de Silva,10B,2,Mathematics,65
S002,Radith de Silva,10B,2,Science,60
S002,Radith de Silva,10B,2,English,62
S002,Radith de Silva,10B,2,ICT,59
S002,Radith de Silva,10B,2,History,62
S002,Radith de Silva,10B,2,Sinhala,65
S003,Charith Costa,10C,1,Mathematics,86
S003,Charith Costa,10C,1,Science,84
S003,Charith Costa,10C,1,English,83
S003,Charith Costa,10C,1,ICT,87
S003,Charith Costa,10C,1,History,89
S003,Charith Costa,10C,1,Sinhala,91
S003,Charith Costa,10C,2,Mathematics,83
S003,Charith Costa,10C,2,Science,86
S003,Charith Costa,10C,2,English,89
S003,Charith Costa,10C,2,ICT,91
S003,Charith Costa,10C,2,History,85
S003,Charith Costa,10C,2,Sinhala,88
S004,Gihan de Silva,10F,1,Mathematics,51
S004,Gihan de Silva,10F,1,Science,66
S004,Gihan de Silva,10F,1,English,50
S004,Gihan de Silva,10F,1,ICT,64
S004,Gihan de Silva,10F,1,History,63
S004,Gihan de Silva,10F,1,Sinhala,60
S004,Gihan de Silva,10F,2,Mathematics,40
S004,Gihan de Silva,10F,2,Science,41
S004,Gihan de Silva,10F,2,English,51
S004,Gihan de Silva,10F,2,ICT,50
